SSID,Year,OtherTopic,Data,Security,Application,Infra,FrontEnd,BackEnd,SaaS,Community,StartUp,Enterprise,Academic,AI/ML,Mobile,DevOps,Programming,Blockchain/Web3,Testing/QA,Design,Hardware/IoT/Maker,GIS/Mapping,CivicTech,FinTech/DeFi,EdTech,Telecom/5G,DevLifestyle,Multimedia/CreativeTech,MyData/PersonalData,Culture/Localization,Legal/Policy,SessionCount
WZ9WGH,2022,57,70,60,63,69,60,68,71,61,64,62,57,77,62,61,63,66,68,66,67,66,61,57,70,60,67,66,61,59,69,295
PCAQMA,2022,59,63,60,62,70,60,68,66,66,60,62,62,59,65,71,59,66,59,64,68,65,64,67,68,72,62,65,61,59,63,295
DH7KPP,2022,56,58,54,63,58,62,63,63,57,58,65,55,61,62,64,63,58,61,66,62,54,53,58,59,59,64,58,55,58,59,295
8FNV79,2022,64,67,60,64,61,61,67,65,60,56,61,60,65,62,68,78,62,64,68,68,61,59,60,58,65,69,62,60,55,62,295
BK3NXS,2022,63,62,62,67,69,59,67,64,66,59,63,63,67,64,75,63,62,66,69,76,65,64,62,70,64,64,65,62,60,68,295
BZSKHV,2022,61,60,57,62,58,67,69,66,61,63,62,59,61,66,67,66,61,59,69,68,60,57,59,64,63,66,64,59,70,63,295
EX3C8M,2022,70,61,60,57,57,58,56,58,66,60,56,65,59,57,64,56,58,59,59,61,61,66,54,64,55,67,62,59,66,57,295
LZU7RP,2022,60,72,63,66,71,63,64,67,61,58,61,60,58,60,66,58,67,63,60,65,68,63,59,66,63,64,61,62,56,60,295
MXMXDS,2022,66,65,57,69,58,60,59,68,63,61,68,59,64,61,65,69,56,70,71,63,62,59,57,64,61,68,63,56,63,63,295
XUP3YQ,2022,69,69,65,66,70,60,66,65,80,63,63,61,66,67,71,66,65,65,64,72,73,72,63,77,66,69,66,64,67,77,295
P7HXPX,2022,62,53,57,58,59,58,58,61,62,53,55,55,58,53,61,59,55,54,55,57,59,58,51,58,59,61,65,51,59,62,295
7M87TR,2022,56,56,57,59,56,53,58,59,55,57,57,55,58,57,64,65,57,60,61,59,57,54,56,58,62,58,54,52,56,54,295
XLBFDJ,2022,60,60,61,54,69,55,58,63,62,60,64,57,62,56,65,51,73,60,58,62,59,58,62,56,61,61,58,64,55,63,295
ZHTKWZ,2022,61,63,62,73,65,69,67,70,68,65,69,63,61,66,70,68,67,67,73,68,67,65,65,68,66,66,65,57,68,63,295
FYJKX9,2022,60,60,52,62,51,58,60,55,60,63,60,62,62,59,61,66,52,61,62,59,60,56,55,69,58,70,54,50,63,55,295
QCF73L,2022,52,46,50,50,50,54,57,54,51,51,51,51,46,52,51,45,49,53,50,44,48,51,48,49,54,48,48,50,50,47,295
M9NVFZ,2022,62,59,62,51,62,57,64,61,62,56,52,59,57,52,66,56,68,56,59,61,58,57,66,59,65,56,54,61,57,67,295
