_SSID,Year,OtherTopic,Data,Security,Application,Infra,FrontEnd,BackEnd,SaaS,Community,StartUp,Enterprise,Academic,SessionCount
TP9FSJ,2023,63,56,58,65,62,65,58,61,75,69,60,59,352
FZ3C8S,2023,63,57,54,60,61,61,59,53,60,55,59,56,352
FUCZYD,2023,66,59,58,62,59,56,56,55,61,58,58,56,352
EQGB7L,2023,59,58,66,62,59,62,64,57,59,55,57,55,352
SAXWES,2023,61,58,57,64,65,60,72,66,58,57,66,53,352
SVTYTE,2023,71,60,54,61,57,59,58,56,60,58,61,57,352
ULNXYH,2023,57,57,55,58,54,56,55,54,61,56,55,56,352
QYPYUG,2023,66,60,54,61,58,59,56,57,66,60,57,60,352
X7SLCR,2023,65,62,57,61,65,58,59,64,61,56,64,55,352
V8F9VH,2023,61,62,57,65,60,59,63,58,61,60,61,58,352
TYFMP7,2023,65,59,53,69,66,71,68,59,67,62,66,56,352
HL88HZ,2023,60,64,52,62,60,57,60,57,59,57,60,56,352
EVX7JQ,2023,62,55,56,63,59,57,56,59,62,58,59,56,352
CZWWVS,2023,59,60,56,59,67,59,59,60,58,60,63,58,352
MG7BDS,2023,62,54,53,60,58,64,59,55,55,55,61,52,352
SAYQPG,2023,62,55,55,61,61,61,57,56,63,59,59,56,352
FYPKL9,2023,61,57,62,63,61,68,60,58,65,60,60,56,352
JBVBZN,2023,63,62,56,60,61,58,58,58,64,58,62,57,352
C7JTLG,2023,64,57,57,64,60,60,58,59,63,61,60,57,352
3WWMFM,2023,65,61,58,65,69,63,61,59,68,63,64,60,352
L78THQ,2023,58,55,61,56,55,55,58,56,55,57,58,56,352
SGNHKA,2023,65,59,61,59,70,61,60,58,67,62,59,59,352
8T37NM,2023,62,55,52,60,54,58,52,53,61,53,55,53,352
MXDBRM,2023,67,63,62,65,65,63,63,61,71,63,66,60,352
B8AXHU,2023,65,60,69,65,65,60,60,60,69,62,61,62,352
39K9NC,2023,65,58,55,61,60,61,61,62,67,60,59,57,352
FTLGPN,2023,60,64,64,63,71,61,63,60,64,58,64,56,352
GGX7RB,2023,64,62,60,58,61,59,56,57,66,61,61,60,352
JLZM37,2023,64,63,55,61,65,58,59,57,61,57,59,58,352
VAHKVH,2023,64,60,56,64,60,65,61,57,62,64,62,60,352
GYHMXU,2023,65,61,54,64,61,69,63,60,61,57,61,55,352
998L9W,2023,69,60,55,63,58,58,57,59,64,62,59,57,352
DTQSDV,2023,62,61,53,61,60,59,65,58,61,59,61,56,352
EBHEGV,2023,63,58,61,63,58,56,55,57,69,62,58,58,352
GL9RD8,2023,71,60,59,62,65,58,58,57,63,56,60,57,352
MG78WL,2023,66,56,66,63,63,57,58,59,62,59,62,60,352
8PDDHW,2023,66,59,56,59,71,61,62,58,59,57,62,55,352
EFMZR3,2023,66,59,56,65,61,62,61,59,63,60,64,56,352
KJRHRR,2023,64,60,60,62,60,57,56,57,61,58,57,59,352
JTDYTG,2023,65,59,53,61,58,59,61,57,60,58,60,57,352
F3H3HP,2023,59,64,54,55,62,54,62,54,58,57,60,54,352
JMHL87,2023,64,62,58,65,63,62,63,59,63,59,62,59,352
KNCV8H,2023,63,64,59,63,65,62,61,58,61,55,62,58,352
PZSRQ8,2023,60,61,54,57,56,54,56,56,55,54,58,53,352
URPPHL,2023,60,64,59,55,64,57,61,54,56,56,61,54,352
HP9F3Z,2023,66,66,58,66,60,61,58,55,61,57,59,61,352
TMZRQP,2023,69,61,60,60,66,60,70,60,59,58,62,58,352
DSJR9G,2023,62,63,59,66,67,66,65,60,68,62,63,62,352
UH3EXE,2023,67,64,57,64,67,59,66,61,64,60,65,57,352
9SSA8R,2023,60,62,63,61,62,59,59,58,62,57,60,59,352
DKYAKQ,2023,65,60,57,61,66,61,60,55,62,57,61,54,352
CMJUAB,2023,62,62,58,63,62,67,63,59,64,55,61,59,352
Y7GDZZ,2023,66,58,54,62,60,60,61,57,61,59,59,57,352
UBDV83,2023,66,64,57,61,59,61,61,58,69,61,59,58,352
KXWYQL,2023,62,61,54,64,64,70,70,59,61,59,61,57,352
EGQK3C,2023,60,64,58,59,67,58,62,58,58,56,63,54,352
FCJTW3,2023,58,62,58,57,59,58,60,55,63,54,59,58,352
WZHJZ9,2023,61,53,65,59,57,60,55,55,58,55,57,53,352
7SVMUC,2023,64,60,54,59,63,57,60,60,62,56,61,56,352
PR3SVC,2023,61,58,55,65,65,59,59,61,66,60,62,58,352
CHXDHC,2023,61,58,54,62,58,62,60,59,58,56,62,55,352
KTTMUY,2023,63,57,55,60,64,61,56,58,59,56,58,54,352
FZKPJN,2023,68,60,61,69,65,64,62,64,71,66,64,61,352
DDFTHC,2023,61,64,57,60,59,61,58,58,61,53,62,57,352
X3SC8T,2023,64,57,57,59,62,57,60,58,75,63,63,57,352
GDGJJZ,2023,60,56,55,62,57,58,59,58,65,62,62,58,352
LXQGDU,2023,63,60,50,61,58,58,61,58,61,57,61,57,352
XNFJC8,2023,63,63,55,61,58,60,60,55,58,57,58,56,352
PFDM7U,2023,60,62,59,60,57,59,60,56,63,56,60,65,352
X3UYBZ,2023,61,64,56,56,64,53,61,54,58,57,60,55,352
8GEEAR,2023,65,55,55,60,59,61,59,56,62,61,58,59,352
BB9VZG,2023,56,53,52,57,58,58,56,54,62,57,59,55,352
TRAZU7,2023,65,61,64,60,67,60,63,56,62,60,64,58,352
3RY9JG,2023,61,56,58,65,59,57,58,56,61,57,60,57,352
RG37SG,2023,55,52,54,55,58,58,57,54,57,56,59,55,352
XPXNMP,2023,69,61,61,64,63,60,58,60,66,65,62,59,352
79HFVZ,2023,59,57,51,60,59,68,62,57,62,57,59,55,352
ED3VPX,2023,58,65,55,60,57,56,58,59,60,59,61,57,352
QC3XEN,2023,60,56,57,64,59,64,58,59,65,58,58,59,352
QBG8U7,2023,58,61,55,60,59,60,62,56,62,54,61,55,352
SR7CVP,2023,63,60,57,63,71,60,61,59,65,63,61,55,352
EHVAM3,2023,65,59,51,62,57,61,61,56,62,59,57,58,352
LVKG8D,2023,60,58,54,59,56,59,55,54,64,60,60,60,352
CHMKDS,2023,62,63,57,62,60,61,63,57,59,56,59,59,352
3UECGN,2023,57,53,61,56,58,54,54,55,64,56,58,56,352
MGW99Q,2023,67,61,63,65,62,57,55,64,73,69,61,65,352
F7WJ9A,2023,62,60,67,60,66,57,60,57,60,58,61,57,352
ZQLYEN,2023,62,60,56,66,60,63,62,61,60,57,65,56,352
R977RN,2023,65,60,58,65,60,60,58,59,73,61,61,59,352
KFFWVA,2023,70,57,55,58,59,62,56,56,58,60,57,56,352
LN8PAN,2023,64,58,56,65,65,68,68,60,65,59,63,56,352
AUMHPW,2023,59,57,54,60,60,60,59,59,69,65,59,58,352
XNBAVV,2023,67,57,59,66,61,71,58,59,74,63,60,59,352
GYUUD8,2023,67,67,58,63,62,60,62,58,62,61,62,57,352
W3333Y,2023,59,53,51,58,54,60,54,54,60,60,58,52,352
LNUMDJ,2023,62,65,58,57,67,57,62,56,59,56,61,55,352
TKMDCL,2023,66,60,57,61,61,61,60,59,70,60,62,58,352
3YQUVL,2023,65,58,53,62,58,60,60,54,61,58,58,59,352
KSJLLL,2023,67,66,57,61,71,59,62,59,62,60,65,58,352
KRQUUR,2023,65,60,55,64,58,62,65,57,62,59,58,56,352
KBT8C7,2023,66,62,57,64,65,63,65,64,70,63,66,57,352
DVVQ3T,2023,69,58,56,63,62,61,61,60,60,59,61,56,352
PM9CMJ,2023,61,58,55,56,57,54,57,54,61,59,57,57,352
YEVZXC,2023,65,56,55,62,57,60,59,59,62,59,59,57,352
SUGBT8,2023,63,64,63,61,63,60,60,59,60,55,62,61,352
LH8TAF,2023,67,59,59,66,64,62,58,62,75,65,62,61,352
8EA8NH,2023,61,65,58,54,55,55,58,53,56,55,57,57,352
W8EEPE,2023,62,56,60,57,60,54,53,54,66,61,57,56,352
TAFBB3,2023,65,57,58,64,64,60,60,61,77,67,61,59,352
WMW8EB,2023,67,59,57,64,63,63,61,58,68,65,63,59,352
HXRHYG,2023,60,66,57,58,57,57,59,57,60,59,62,57,352
W7TAX3,2023,63,58,59,68,61,61,56,61,69,59,57,63,352
PT8VT7,2023,64,61,57,62,70,63,63,62,63,60,64,56,352
9AXGL7,2023,68,57,57,62,64,61,59,58,62,57,61,55,352
BQ97CG,2023,67,63,61,68,64,62,60,66,71,72,67,61,352
APY3ST,2023,62,51,52,61,58,57,55,53,61,58,56,53,352
ZFPXTX,2023,70,62,57,66,70,62,64,62,72,65,65,58,352
DKNPD8,2023,66,61,57,67,60,60,59,57,64,58,62,56,352
TXZWJG,2023,62,60,58,65,55,66,55,61,60,56,61,56,352
L7AMRC,2023,65,62,61,64,74,62,62,60,59,58,65,57,352
VWAH3S,2023,61,67,60,56,56,53,58,55,61,55,57,56,352
SPMM8U,2023,63,59,56,63,61,60,60,63,71,66,64,59,352
AVZGSH,2023,63,64,56,61,59,61,61,60,60,59,63,59,352
SY3PCJ,2023,69,60,58,65,72,64,64,59,64,62,63,58,352
XJU9FS,2023,61,60,60,58,59,58,56,59,63,60,60,58,352
N8UQQZ,2023,63,59,69,57,61,54,56,56,61,57,57,58,352
A9VPER,2023,61,57,56,59,65,59,61,57,61,59,60,54,352
FCFCQP,2023,67,59,57,63,63,64,60,58,70,65,62,61,352
GKRP7Q,2023,62,62,57,64,69,60,65,62,67,61,66,57,352
XA9XJC,2023,66,56,53,63,59,61,59,55,61,57,59,54,352
T9QFQH,2023,68,68,64,67,70,63,68,64,65,62,70,61,352
HBB8DR,2023,68,61,65,63,63,61,56,57,66,62,62,64,352
UYZ8BS,2023,60,72,56,61,62,57,60,59,58,59,63,57,352
XESY8Q,2023,63,58,53,65,63,64,67,65,58,60,62,53,352
APGRVM,2023,61,58,59,63,59,58,56,58,72,62,58,69,352
B9HEQT,2023,65,56,52,58,55,58,58,56,55,55,57,53,352
DYGH83,2023,67,62,55,61,60,61,60,55,63,60,60,59,352
CDLSBW,2023,68,62,56,63,62,59,59,55,60,60,61,57,352
DLKFDW,2023,70,58,57,61,59,59,58,53,66,58,58,57,352
AB799P,2023,58,58,54,56,56,55,59,53,57,54,55,61,352
8AELJD,2023,64,62,61,61,60,60,57,58,65,64,60,65,352
NYFP8X,2023,66,58,57,63,61,61,57,55,71,65,58,56,352
ZHRVJN,2023,64,62,56,62,64,67,68,58,65,60,66,60,352
7DJRFK,2023,63,58,56,58,56,58,58,56,66,57,59,55,352
8XKXXS,2023,69,59,59,65,63,67,60,60,73,67,62,60,352
WHFWTD,2023,69,59,60,65,62,62,58,57,74,66,59,60,352
MPL3HC,2023,63,64,54,61,60,59,58,55,59,56,61,57,352
JNK8BS,2023,66,58,54,61,58,58,57,56,58,57,58,55,352
M9KGHF,2023,58,57,52,61,57,57,58,55,62,53,58,57,352
CEVGDA,2023,61,58,57,58,58,59,54,53,57,57,59,59,352
TPUL8T,2023,65,57,57,61,59,58,55,57,69,64,61,58,352
7JMAPT,2023,64,56,57,60,59,60,56,55,66,62,60,60,352
WXTCCT,2023,60,59,51,59,56,55,59,56,58,55,61,53,352
MXCKWK,2023,61,59,60,60,56,57,59,62,58,61,60,56,352
YWWMBR,2023,61,56,54,64,61,60,60,60,71,63,60,57,352
NZAEYY,2023,68,63,60,61,67,61,65,58,65,61,63,59,352
B9VSYB,2023,65,55,53,57,54,56,57,58,58,55,59,54,352
AHEXJF,2023,56,52,52,58,57,54,56,52,55,54,56,53,352
8PESUM,2023,63,57,58,63,61,59,60,59,61,62,63,60,352
VFQUPG,2023,65,59,57,65,65,62,66,60,65,59,63,57,352
WLP38V,2023,62,58,55,63,60,62,63,59,62,57,59,56,352
NGJXFG,2023,62,58,56,61,60,60,57,57,70,61,61,57,352
XXLBHK,2023,61,57,56,60,61,54,55,56,61,56,55,56,352
JYETVA,2023,62,56,57,65,58,61,59,56,60,57,61,56,352
YAQ3GX,2023,71,64,58,63,61,61,63,60,65,63,62,62,352
U7VFQF,2023,62,57,60,60,60,59,55,54,60,61,58,63,352
LUALXW,2023,65,60,59,61,61,62,60,58,61,57,59,57,352
J7RHCH,2023,64,63,55,62,61,60,61,56,60,57,62,57,352
DEA9PW,2023,67,61,67,67,63,61,59,62,61,59,66,59,352
YMWBGJ,2023,60,58,56,64,62,61,58,58,63,60,59,61,352
QLZUQ8,2023,61,63,54,58,61,60,61,56,63,57,65,55,352
QF9FYU,2023,60,57,51,60,52,60,57,56,55,57,56,53,352
7NXV7C,2023,66,59,57,63,59,59,57,56,64,60,57,60,352
FX39FV,2023,56,58,51,58,57,62,64,55,60,55,57,55,352
LVGFDA,2023,64,57,56,56,58,59,60,56,59,57,61,56,352
BXZXAN,2023,62,58,52,66,67,61,65,61,64,59,65,56,352
U7D9AQ,2023,63,61,59,68,59,61,62,60,65,62,65,56,352
YLXCSK,2023,63,58,61,61,63,59,57,56,72,63,59,61,352
SYJME3,2023,65,64,58,57,57,58,58,54,65,57,58,60,352
NG9MZM,2023,58,60,57,53,53,53,52,51,60,54,57,56,352
MRBPG7,2023,68,58,59,64,60,57,57,59,69,63,62,58,352
YJ3NQU,2023,67,59,61,69,64,62,58,58,69,62,62,60,352
E9EXSJ,2023,63,61,56,60,59,61,60,57,66,58,60,60,352
HRJLTD,2023,60,55,57,60,58,62,55,59,67,59,61,57,352
XXEP79,2023,58,57,52,62,59,66,66,58,58,53,59,55,352
KYY7UQ,2023,65,65,53,58,56,59,59,55,63,57,59,58,352
C3CYHE,2023,58,64,55,64,62,58,61,58,62,57,60,54,352
MBPYNH,2023,64,60,56,59,62,62,64,57,66,59,60,59,352
X39N8N,2023,68,59,60,62,65,60,59,57,74,63,59,60,352
GUQJMY,2023,62,58,59,61,60,58,59,62,65,62,60,60,352
SYBSLM,2023,66,64,59,61,60,60,59,57,64,60,64,63,352
HXNQDM,2023,67,66,61,62,64,60,63,59,62,59,63,59,352
YKBVZ9,2023,63,58,55,61,60,60,57,57,71,61,61,57,352
8FPWKS,2023,59,60,61,56,57,56,58,53,58,58,58,56,352
8FRDHP,2023,64,60,54,61,60,56,59,60,70,64,63,60,352
GKHNRQ,2023,57,50,57,53,54,53,50,56,59,55,54,53,352
TXHYET,2023,64,59,59,65,67,61,60,62,71,67,66,59,352
GUHJYR,2023,63,65,57,59,59,60,66,59,59,60,58,56,352
K7TDAB,2023,61,57,56,58,59,55,56,54,62,58,60,56,352
UKKRLP,2023,63,66,59,59,60,56,59,55,61,58,60,56,352
XGTJKH,2023,64,58,57,62,63,60,59,58,71,64,60,58,352
7PGFJM,2023,66,67,53,60,63,64,64,57,64,57,65,56,352
GJ7QUJ,2023,64,58,57,62,63,60,59,58,71,64,60,58,352
KCMBBY,2023,66,61,62,65,63,61,58,61,72,64,61,62,352
HRZDUV,2023,65,60,58,60,63,60,58,55,70,60,61,56,352
ZHVR7V,2023,58,54,56,57,57,62,56,55,59,55,60,55,352
JSGKMQ,2023,64,56,56,61,63,57,57,58,58,55,59,54,352
3CGMNF,2023,69,61,58,64,62,63,62,59,66,60,60,61,352
DWWBQE,2023,60,62,55,64,62,69,68,59,65,58,60,55,352
EAL7CK,2023,59,63,57,62,58,61,69,62,58,57,61,54,352
ND3AZB,2023,65,60,51,60,57,60,64,56,59,57,58,57,352
QKUKKZ,2023,62,56,53,62,62,59,59,57,60,60,59,53,352
QCKR3X,2023,64,58,57,62,63,60,59,58,71,64,60,58,352
FUYMRX,2023,62,57,55,60,59,60,57,57,70,61,61,57,352
E3YGW8,2023,62,58,57,64,61,61,58,57,63,61,61,63,352
ZKFJVC,2023,65,58,56,69,62,62,59,58,67,61,63,59,352
ACJYYA,2023,57,53,52,57,55,61,58,59,57,56,55,54,352
PUMCVN,2023,61,57,60,59,56,59,54,57,61,59,58,57,352
TU7FUJ,2023,63,56,61,59,60,56,55,56,65,56,59,59,352
YNM8TC,2023,62,56,55,62,61,59,58,60,70,64,60,61,352
EUP3W9,2023,68,61,57,66,63,70,67,63,62,57,60,58,352
PXWCTN,2023,62,57,56,59,57,60,55,55,57,59,60,56,352
QNVLCD,2023,65,58,57,62,63,60,59,58,71,63,60,58,352
K9D99D,2023,64,58,57,62,63,60,59,58,71,63,60,58,352
WWK9DU,2023,64,55,55,69,60,59,59,60,64,59,58,55,352
TBGRFD,2023,65,55,54,56,52,59,56,51,58,54,57,56,352
LFHFK8,2023,58,59,55,57,52,58,56,51,59,53,54,59,352
LSUHCF,2023,64,59,57,66,64,62,62,62,70,66,67,58,352
FT8X3S,2023,59,68,55,58,61,57,65,56,58,54,62,55,352
UZKQDV,2023,61,55,53,59,58,56,56,56,71,59,57,57,352
L8XSYB,2023,63,58,61,60,63,60,57,57,74,63,60,59,352
CNJUVM,2023,65,58,57,66,70,63,60,58,67,61,64,57,352
LLXQQN,2023,67,60,61,59,60,60,61,59,62,59,61,59,352
HDB7UP,2023,65,58,57,62,63,60,59,58,71,63,60,58,352
FBARFX,2023,63,56,62,60,60,56,58,60,66,60,60,58,352
CHRQGG,2023,61,66,60,64,67,64,68,61,62,62,61,56,352
CC3LAH,2023,63,56,58,62,57,56,55,61,69,61,61,59,352
TALENU,2023,63,59,56,58,56,55,56,55,58,54,62,56,352
GAVHLF,2023,64,70,58,65,61,63,66,60,59,58,63,58,352
PBN3L7,2023,63,64,56,61,60,58,61,54,64,58,60,57,352
NHRACC,2023,60,59,59,56,56,53,58,56,67,55,59,56,352
SGDX3Z,2023,61,55,55,60,59,59,56,55,64,60,59,56,352
PBEU7M,2023,63,58,60,60,58,59,59,58,60,58,60,58,352
3MBNCY,2023,65,73,61,60,64,60,64,58,60,57,66,57,352
WMYFZE,2023,61,63,56,62,59,62,57,60,59,56,59,59,352
QSVBSK,2023,69,56,57,64,59,61,56,58,70,65,58,57,352
9TKAJT,2023,58,62,59,57,59,57,58,56,62,54,59,58,352
UDVLDE,2023,59,55,60,56,59,59,54,53,60,62,56,59,352
MNW8TG,2023,67,57,60,63,62,62,62,56,63,63,61,58,352
SQCCYZ,2023,64,65,56,62,67,58,66,60,61,57,64,55,352
TWEA3T,2023,60,61,56,60,59,56,59,56,61,55,59,57,352
FM3S7U,2023,60,56,61,56,59,58,54,52,59,61,56,60,352
DAL9KC,2023,67,63,62,63,65,58,57,59,78,66,62,65,352
7VMFMQ,2023,64,59,56,68,63,63,64,61,61,60,63,56,352
BPTJJ8,2023,58,57,58,61,66,60,63,65,61,61,62,58,352
GCT8EF,2023,68,56,60,65,60,60,55,55,67,59,61,60,352
RNKY8Q,2023,59,54,59,58,61,57,54,55,62,59,59,56,352
HSKKSZ,2023,58,54,55,65,60,64,61,56,67,61,61,57,352
JXS9SZ,2023,62,59,56,64,58,60,59,61,59,61,61,57,352
DDEQVS,2023,62,56,55,65,61,71,59,59,62,59,63,55,352
AGUAMD,2023,66,59,56,66,61,61,59,61,72,62,62,60,352
NZTMCX,2023,66,59,58,67,63,61,57,60,71,62,61,60,352
9VFVHQ,2023,61,61,57,59,67,57,60,57,59,56,60,54,352
WDCGBQ,2023,61,58,55,61,65,61,63,60,56,56,61,56,352
CFGUDC,2023,64,59,57,62,63,59,57,55,72,63,60,65,352
9RW7HA,2023,57,57,58,55,58,54,58,56,58,60,56,56,352
NW7RXR,2023,64,60,56,61,63,61,60,59,69,61,59,58,352
RLMJHE,2023,62,57,53,60,58,57,54,55,68,63,59,64,352
L7FY8F,2023,61,57,57,63,60,62,56,60,72,68,61,62,352
BCW9EX,2023,62,60,61,63,74,59,64,62,62,58,67,55,352
NCHMCB,2023,69,60,54,62,58,60,61,59,61,60,64,57,352
W8NLAC,2023,59,59,58,66,62,59,60,58,66,56,64,56,352
QMR7Q7,2023,69,57,60,59,61,58,57,55,60,63,57,58,352
EVYR3G,2023,65,61,53,58,57,55,57,57,58,57,61,58,352
CNLZWZ,2023,65,64,59,57,72,59,66,59,60,58,63,56,352
YZDLJ8,2023,65,61,56,70,63,67,61,61,64,61,63,59,352
KW3ELG,2023,63,60,53,63,68,64,66,62,62,57,63,55,352
MLFUV3,2023,64,58,56,56,57,56,55,56,63,54,60,57,352
SGLPKC,2023,61,58,54,60,60,68,60,58,70,61,60,58,352
Z3GYBW,2023,61,66,57,62,63,61,60,60,62,56,61,57,352
EFYC8R,2023,69,60,58,67,70,64,63,63,64,61,65,57,352
E79MB3,2023,66,63,58,58,63,59,62,56,60,59,61,56,352
AHXQMN,2023,62,57,52,58,57,56,59,56,63,55,60,53,352
SBSR93,2023,64,56,57,60,61,60,55,58,70,62,59,59,352
8KLBUN,2023,59,65,55,54,56,58,56,51,62,55,58,60,352
QNMDNM,2023,68,62,61,64,70,65,62,58,64,61,65,61,352
JMFFMN,2023,61,60,58,58,60,55,56,55,64,59,57,59,352
DSRWLL,2023,63,58,54,60,62,56,57,53,59,56,62,55,352
3S8BVT,2023,62,56,58,59,59,56,55,57,71,61,59,57,352
9BMN3R,2023,62,59,61,65,63,58,55,58,66,57,62,56,352
8FL7D7,2023,54,57,59,59,59,58,62,57,59,56,58,53,352
XJPTU3,2023,61,68,54,60,59,55,60,56,59,54,63,54,352
GHLTBH,2023,65,56,55,68,56,63,60,60,63,59,62,57,352
RL8PFP,2023,63,60,53,60,57,60,61,59,60,56,59,54,352
GNXGDH,2023,59,59,65,58,64,57,60,56,58,55,60,54,352
X7TDPK,2023,58,57,56,64,70,62,62,59,61,56,61,52,352
Y7Y8UU,2023,67,61,60,67,62,62,59,61,70,68,64,64,352
DDZYDA,2023,62,66,57,63,71,64,64,62,61,59,62,55,352
AWCXJK,2023,65,60,60,67,64,63,61,63,64,61,64,60,352
7VMYAY,2023,62,62,60,59,66,56,60,55,64,56,63,58,352
Y9ZEKH,2023,68,64,60,66,70,64,68,61,64,61,65,58,352
NDFZTH,2023,64,61,55,64,63,62,62,57,70,60,60,58,352
SCCF9K,2023,63,57,55,58,59,57,60,58,63,61,59,58,352
XC7UAD,2023,66,59,59,62,65,61,60,58,66,63,61,59,352
NK3AGP,2023,62,58,56,59,54,56,58,53,60,61,57,67,352
HFU9VA,2023,67,62,56,70,73,62,67,63,63,62,65,56,352
9LYBEC,2023,64,58,56,68,62,64,62,62,62,59,64,55,352
GYSF79,2023,64,60,60,65,64,57,59,62,69,63,64,58,352
NJPZFR,2023,65,59,58,62,63,61,59,57,59,55,63,56,352
Q3UUYJ,2023,63,62,55,63,62,64,69,62,58,57,62,55,352
7YBUBF,2023,65,70,57,63,68,61,64,56,62,58,67,57,352
QYNZL9,2023,68,61,61,67,65,61,60,62,75,66,63,62,352
QSTFG8,2023,61,56,59,55,55,54,55,54,57,57,59,57,352
AB7PV7,2023,64,59,58,68,65,64,62,58,63,59,63,58,352
LFWCZZ,2023,58,58,56,60,58,57,58,60,64,61,60,61,352
TUGLJP,2023,65,59,57,65,68,59,61,58,67,60,62,57,352
PBTRQ7,2023,61,56,59,59,62,55,61,61,62,60,59,58,352
3QSNJ9,2023,65,64,55,61,62,58,59,59,60,58,65,58,352
PKW3QE,2023,68,54,58,64,61,61,57,57,66,61,61,58,352
8BXN8S,2023,63,63,53,62,65,64,67,64,59,58,62,55,352
V3YWCF,2023,66,64,59,65,60,60,60,57,66,59,61,58,352
7CZELB,2023,67,59,60,68,63,68,59,61,75,65,61,63,352
UELZJH,2023,68,61,59,62,62,62,60,58,70,64,64,60,352
RSMWRF,2023,65,59,56,64,70,62,62,60,63,63,64,58,352
TTB8TR,2023,61,60,59,59,62,61,60,57,60,55,61,58,352
YGERZZ,2023,67,59,58,65,68,61,60,57,64,58,61,57,352
YAGKY8,2023,60,71,56,63,63,59,62,58,58,59,62,57,352
BHMDWZ,2023,62,66,59,62,63,59,64,58,62,56,61,57,352
CF7XLE,2023,55,56,55,59,52,54,54,54,58,53,55,55,352
PCCGNZ,2023,62,57,49,60,55,59,59,55,59,55,56,53,352
KZZWTS,2023,65,62,56,60,61,60,62,55,61,61,61,56,352
EFCLJK,2023,58,70,57,65,64,61,66,62,64,59,64,57,352
FCXLBD,2023,68,64,55,64,61,58,58,56,61,56,60,57,352
ASZXGR,2023,59,58,59,57,56,60,59,54,58,56,59,56,352
XUESF8,2023,63,57,59,61,61,59,58,55,60,57,58,58,352
PRQSGE,2023,60,67,59,59,62,56,65,62,59,56,61,57,352
VCUYP8,2023,65,59,58,63,61,61,57,60,74,64,64,62,352
KUHLLR,2023,68,62,66,66,65,77,63,60,65,60,61,61,352
LHRZQN,2023,60,59,57,64,65,61,64,65,59,59,68,55,352
8GP8NC,2023,55,50,52,53,54,58,53,53,59,59,57,55,352
8ZPQZT,2023,65,59,58,63,62,61,60,57,67,59,60,59,352
SJ9SYU,2023,63,59,56,57,57,56,57,55,59,55,62,56,352
HEMKVT,2023,68,62,60,65,71,63,65,62,67,62,64,58,352
XESUJG,2023,65,58,65,66,63,56,57,62,73,69,64,62,352
NVP7SV,2023,63,58,59,62,67,64,59,57,61,61,62,57,352
EVF7UB,2023,60,61,57,58,60,57,58,56,58,54,61,56,352
FHMWYE,2023,63,68,56,63,67,63,65,61,62,58,67,58,352
NKPZHR,2023,67,59,59,68,65,64,61,59,71,62,65,60,352
VDSBVW,2024,62,58,56,64,66,65,62,57,61,55,61,56,331
CKL3PC,2024,61,60,63,61,60,64,61,59,60,63,60,60,331
TPZ39S,2024,67,60,57,70,68,64,63,59,73,63,64,58,331
ZKSLMP,2024,69,64,58,68,64,69,61,59,65,59,60,58,331
CXR7CA,2024,65,62,60,62,65,60,64,62,59,58,63,62,331
JRCZ3Y,2024,64,58,61,65,61,61,57,60,68,64,60,60,331
VKSHDK,2024,67,64,57,63,61,58,55,54,64,58,59,58,331
XXYA98,2024,61,57,57,62,63,60,56,57,74,63,62,59,331
WZCDFT,2024,64,57,56,59,59,58,57,57,69,62,60,57,331
XGQPGA,2024,63,56,59,65,60,58,57,55,61,58,58,55,331
DZJLHY,2024,59,54,57,65,56,61,52,59,63,62,59,59,331
SBASPY,2024,55,54,53,56,54,59,58,51,55,52,57,53,331
HVUX9F,2024,62,58,61,59,57,55,55,56,61,59,58,56,331
J9WRVS,2024,64,60,57,66,58,60,58,60,62,59,60,57,331
778KP9,2024,59,57,56,57,57,56,56,54,66,58,58,56,331
RWBFJR,2024,64,59,55,62,58,61,62,58,60,60,60,60,331
TWWAWV,2024,66,73,61,62,64,61,62,58,61,56,64,60,331
VESN7N,2024,63,65,52,59,63,61,66,58,59,57,66,55,331
NYMPBQ,2024,61,56,52,62,60,64,60,58,58,56,58,54,331
MAPBJD,2024,69,59,60,67,60,63,56,59,69,63,61,62,331
F9Q8FJ,2024,66,57,55,63,61,61,61,57,68,63,61,57,331
VLABXY,2024,64,75,59,66,66,66,70,62,62,61,67,61,331
P3HXPF,2024,67,62,62,66,68,66,60,60,71,69,62,66,331
ZTEXGN,2024,71,66,57,62,61,62,63,59,62,61,63,57,331
XPMEGT,2024,66,61,59,69,62,63,57,60,71,63,64,60,331
PLGNJV,2024,63,61,60,59,67,58,63,58,62,58,62,58,331
YANWW7,2024,67,59,54,64,59,61,63,61,59,57,62,55,331
8KZXWT,2024,64,58,59,61,62,60,57,58,65,61,58,60,331
CKQC9P,2024,66,61,61,66,70,61,62,62,71,63,65,60,331
BLBXLX,2024,61,57,56,61,59,57,60,57,58,56,58,56,331
DJYCNV,2024,67,60,56,63,64,65,67,61,61,57,61,56,331
8ME9JC,2024,66,61,57,61,59,61,62,60,58,57,63,56,331
XWNSSJ,2024,60,65,57,59,60,54,56,55,57,54,60,55,331
WWJSLQ,2024,61,59,57,59,67,59,60,60,57,61,65,56,331
FWAMPP,2024,66,61,57,62,65,59,63,59,59,59,62,59,331
DEDKNZ,2024,64,60,60,66,61,59,57,62,64,67,69,57,331
U8XZ9H,2024,65,60,61,62,63,60,57,59,70,65,57,68,331
B8ZYSH,2024,64,58,56,64,61,61,63,60,60,57,62,53,331
